t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,2.441100000000000136e+01,2.341199999999999903e+01
1.000000000000000000e+00,9.999999999999998579e+01,2.441100000000000136e+01,2.354100000000000037e+01
2.000000000000000000e+00,9.639062606501374830e+01,2.444300000000000139e+01,2.347700000000000031e+01
3.000000000000000000e+00,9.316582870372450031e+01,2.444300000000000139e+01,2.376699999999999946e+01
4.000000000000000000e+00,9.007529029270344267e+01,2.444300000000000139e+01,2.357300000000000040e+01
5.000000000000000000e+00,8.711382432794846409e+01,2.444300000000000139e+01,2.376699999999999946e+01
6.000000000000000000e+00,8.427644549183105482e+01,2.444300000000000139e+01,2.376699999999999946e+01
7.000000000000000000e+00,8.155836186322683545e+01,2.444300000000000139e+01,2.347700000000000031e+01
8.000000000000000000e+00,9.999999999999998579e+01,2.444300000000000139e+01,2.357300000000000040e+01
9.000000000000000000e+00,9.782276246959543187e+01,2.453999999999999915e+01,2.376699999999999946e+01
1.000000000000000000e+01,9.508002910990865075e+01,2.473300000000000054e+01,2.376699999999999946e+01
1.100000000000000000e+01,9.351968953451542177e+01,2.476599999999999824e+01,2.379899999999999949e+01
1.200000000000000000e+01,9.244350244104643366e+01,2.476599999999999824e+01,2.360500000000000043e+01
1.300000000000000000e+01,9.033497026093165516e+01,2.489499999999999957e+01,2.354100000000000037e+01
1.400000000000000000e+01,8.789048536757091767e+01,2.508800000000000097e+01,2.389600000000000080e+01
1.500000000000000000e+01,8.708176257673531495e+01,2.508800000000000097e+01,2.408899999999999864e+01
1.600000000000000000e+01,8.547282134889634619e+01,2.518499999999999872e+01,2.389600000000000080e+01
1.700000000000000000e+01,8.293421398361910235e+01,2.541000000000000014e+01,2.408899999999999864e+01
1.800000000000000000e+01,8.150223650850105628e+01,2.550700000000000145e+01,2.389600000000000080e+01
1.900000000000000000e+01,7.939850163796018023e+01,2.569999999999999929e+01,2.392800000000000082e+01
2.000000000000000000e+01,7.865206334998968885e+01,2.573199999999999932e+01,2.437900000000000134e+01
2.100000000000000000e+01,7.597126913379582902e+01,2.602199999999999847e+01,2.441100000000000136e+01
2.200000000000000000e+01,7.515731210762248793e+01,2.605499999999999972e+01,2.441100000000000136e+01
2.300000000000000000e+01,7.226268087512781335e+01,2.637699999999999889e+01,2.434700000000000131e+01
2.400000000000000000e+01,7.199425363175114967e+01,2.637699999999999889e+01,2.453999999999999915e+01
2.500000000000000000e+01,6.944824799086181599e+01,2.666700000000000159e+01,2.473300000000000054e+01
