t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,2.512000000000000099e+01,2.463700000000000045e+01
1.000000000000000000e+00,4.991560432541638193e+01,2.508800000000000097e+01,2.470100000000000051e+01
2.000000000000000000e+00,4.982812003300756487e+01,2.515200000000000102e+01,2.434700000000000131e+01
3.000000000000000000e+00,4.973765063461473090e+01,2.515200000000000102e+01,2.444300000000000139e+01
4.000000000000000000e+00,4.964429705126178050e+01,2.521699999999999875e+01,2.463700000000000045e+01
5.000000000000000000e+00,4.954815767411158589e+01,2.531299999999999883e+01,2.473300000000000054e+01
6.000000000000000000e+00,4.944932842401107109e+01,2.541000000000000014e+01,2.463700000000000045e+01
7.000000000000000000e+00,4.934790280965783182e+01,2.541000000000000014e+01,2.473300000000000054e+01
8.000000000000000000e+00,7.504588468724843153e+01,2.541000000000000014e+01,2.444300000000000139e+01
9.000000000000000000e+00,7.598910148380501539e+01,2.541000000000000014e+01,2.444300000000000139e+01
1.000000000000000000e+01,7.704519775401305992e+01,2.541000000000000014e+01,2.476599999999999824e+01
1.100000000000000000e+01,7.792368401540039713e+01,2.553900000000000148e+01,2.473300000000000054e+01
1.200000000000000000e+01,7.873925235095782682e+01,2.563599999999999923e+01,2.486199999999999832e+01
1.300000000000000000e+01,7.955833762067101134e+01,2.573199999999999932e+01,2.486199999999999832e+01
1.400000000000000000e+01,8.041525786956134425e+01,2.573199999999999932e+01,2.499099999999999966e+01
1.500000000000000000e+01,8.118196297549354767e+01,2.573199999999999932e+01,2.492699999999999960e+01
1.600000000000000000e+01,8.205421678763626403e+01,2.582900000000000063e+01,2.505600000000000094e+01
1.700000000000000000e+01,8.280672544863817564e+01,2.605499999999999972e+01,2.505600000000000094e+01
1.800000000000000000e+01,8.342457324400632501e+01,2.605499999999999972e+01,2.495899999999999963e+01
1.900000000000000000e+01,8.413623361646759236e+01,2.605499999999999972e+01,2.518499999999999872e+01
2.000000000000000000e+01,8.477012034033720056e+01,2.634499999999999886e+01,2.531299999999999883e+01
2.100000000000000000e+01,8.542411464828374790e+01,2.637699999999999889e+01,2.508800000000000097e+01
2.200000000000000000e+01,8.601231977448409793e+01,2.640899999999999892e+01,2.537800000000000011e+01
2.300000000000000000e+01,8.664368421440275370e+01,2.666700000000000159e+01,2.518499999999999872e+01
2.400000000000000000e+01,8.718937115766556190e+01,2.669900000000000162e+01,2.537800000000000011e+01
2.500000000000000000e+01,8.775737007101760412e+01,2.695700000000000074e+01,2.544200000000000017e+01
2.600000000000000000e+01,8.833910761047957294e+01,2.702100000000000080e+01,2.569999999999999929e+01
2.700000000000000000e+01,8.879265740535348073e+01,2.718299999999999983e+01,2.569999999999999929e+01
2.800000000000000000e+01,8.925800731778029729e+01,2.734400000000000119e+01,2.550700000000000145e+01
2.900000000000000000e+01,8.982440287150802760e+01,2.740800000000000125e+01,2.592599999999999838e+01
3.000000000000000000e+01,9.020018728235895367e+01,2.766600000000000037e+01,2.573199999999999932e+01
3.100000000000000000e+01,9.072008423935365329e+01,2.766600000000000037e+01,2.582900000000000063e+01
3.200000000000000000e+01,9.109398054954718305e+01,2.798799999999999955e+01,2.598999999999999844e+01
3.300000000000000000e+01,9.149306023290446888e+01,2.802100000000000080e+01,2.621600000000000108e+01
3.400000000000000000e+01,9.180905450682533342e+01,2.831099999999999994e+01,2.605499999999999972e+01
3.500000000000000000e+01,9.219438028103675720e+01,2.840700000000000003e+01,2.615099999999999980e+01
3.600000000000000000e+01,9.263093575133028423e+01,2.863299999999999912e+01,2.647400000000000020e+01
3.700000000000000000e+01,9.284623848937977186e+01,2.885800000000000054e+01,2.657000000000000028e+01
3.800000000000000000e+01,9.325129077137252409e+01,2.895499999999999829e+01,2.657000000000000028e+01
3.900000000000000000e+01,9.354582096405221137e+01,2.927700000000000102e+01,2.676399999999999935e+01
4.000000000000000000e+01,9.380369179379735556e+01,2.927700000000000102e+01,2.698900000000000077e+01
4.100000000000000000e+01,9.402403087988442110e+01,2.956700000000000017e+01,2.679599999999999937e+01
4.200000000000000000e+01,9.436105844601064518e+01,2.960000000000000142e+01,2.711799999999999855e+01
4.300000000000000000e+01,9.460019917452913774e+01,2.992200000000000060e+01,2.731200000000000117e+01
4.400000000000000000e+01,9.474832972012430332e+01,3.014699999999999847e+01,2.731200000000000117e+01
4.500000000000000000e+01,9.495800334947915644e+01,3.024399999999999977e+01,2.724699999999999989e+01
4.600000000000000000e+01,9.518801564770279811e+01,3.056599999999999895e+01,2.760200000000000031e+01
4.700000000000000000e+01,9.534077189642377448e+01,3.066300000000000026e+01,2.734400000000000119e+01
4.800000000000000000e+01,9.546960503492792327e+01,3.088899999999999935e+01,2.785900000000000176e+01
4.900000000000000000e+01,9.572814552376794950e+01,3.098499999999999943e+01,2.795599999999999952e+01
5.000000000000000000e+01,9.580325714349166333e+01,3.121099999999999852e+01,2.805300000000000082e+01
5.100000000000000000e+01,9.590795333826679325e+01,3.153300000000000125e+01,2.811700000000000088e+01
5.200000000000000000e+01,9.606702266034298532e+01,3.156500000000000128e+01,2.831099999999999994e+01
5.300000000000000000e+01,9.623937547408357318e+01,3.185500000000000043e+01,2.821399999999999864e+01
5.400000000000000000e+01,9.626012786764303542e+01,3.204899999999999949e+01,2.831099999999999994e+01
5.500000000000000000e+01,9.647718668244024798e+01,3.217799999999999727e+01,2.866499999999999915e+01
5.600000000000000000e+01,9.642510155713313225e+01,3.250000000000000000e+01,2.892299999999999827e+01
5.700000000000000000e+01,9.650077206080769088e+01,3.253199999999999648e+01,2.863299999999999912e+01
5.800000000000000000e+01,9.656743373471871905e+01,3.282200000000000273e+01,2.911599999999999966e+01
5.900000000000000000e+01,9.663662807369831853e+01,3.304800000000000182e+01,2.924500000000000099e+01
6.000000000000000000e+01,9.665325570582749037e+01,3.314500000000000313e+01,2.934199999999999875e+01
6.100000000000000000e+01,9.675982545660974665e+01,3.346699999999999875e+01,2.956700000000000017e+01
6.200000000000000000e+01,9.679468719914001440e+01,3.365999999999999659e+01,2.969600000000000151e+01
6.300000000000000000e+01,9.673366430825720386e+01,3.378900000000000148e+01,2.979299999999999926e+01
6.400000000000000000e+01,9.669417554851760599e+01,3.411099999999999710e+01,2.998600000000000065e+01
6.500000000000000000e+01,9.683263978163010677e+01,3.414399999999999835e+01,3.021199999999999974e+01
6.600000000000000000e+01,9.670484131018938001e+01,3.443399999999999750e+01,3.014699999999999847e+01
6.700000000000000000e+01,9.668569848109729037e+01,3.475600000000000023e+01,3.030900000000000105e+01
6.800000000000000000e+01,9.667033626580766281e+01,3.478799999999999670e+01,3.050199999999999889e+01
6.900000000000000000e+01,9.660463050065638413e+01,3.507800000000000296e+01,3.076000000000000156e+01
7.000000000000000000e+01,9.656363541615471036e+01,3.536800000000000210e+01,3.088899999999999935e+01
7.100000000000000000e+01,9.652702926201797595e+01,3.549699999999999989e+01,3.105000000000000071e+01
7.200000000000000000e+01,9.645162898833740428e+01,3.572299999999999898e+01,3.101800000000000068e+01
7.300000000000000000e+01,9.635780813350214657e+01,3.601299999999999812e+01,3.105000000000000071e+01
7.400000000000000000e+01,9.635622437988052980e+01,3.604500000000000171e+01,3.156500000000000128e+01
7.500000000000000000e+01,9.627387466234674207e+01,3.636699999999999733e+01,3.133999999999999986e+01
7.600000000000000000e+01,9.617473309647856183e+01,3.668900000000000006e+01,3.175900000000000034e+01
7.700000000000000000e+01,9.604689457788845175e+01,3.672200000000000131e+01,3.182300000000000040e+01
7.800000000000000000e+01,9.595603744047596706e+01,3.701200000000000045e+01,3.224199999999999733e+01
7.900000000000000000e+01,9.584907626759070354e+01,3.723700000000000188e+01,3.198400000000000176e+01
8.000000000000000000e+01,9.580273975803410735e+01,3.733400000000000318e+01,3.250000000000000000e+01
8.100000000000000000e+01,9.573194175024057984e+01,3.765599999999999881e+01,3.262899999999999778e+01
8.200000000000000000e+01,9.549240550772148595e+01,3.781700000000000017e+01,3.262899999999999778e+01
8.300000000000000000e+01,9.549608690663637844e+01,3.797899999999999920e+01,3.295100000000000051e+01
8.400000000000000000e+01,9.527994569033342032e+01,3.826899999999999835e+01,3.282200000000000273e+01
8.500000000000000000e+01,9.517685686108103482e+01,3.830100000000000193e+01,3.317699999999999960e+01
8.600000000000000000e+01,9.494902146754407113e+01,3.862299999999999756e+01,3.314500000000000313e+01
8.700000000000000000e+01,9.494481911865265999e+01,3.868800000000000239e+01,3.362800000000000011e+01
8.800000000000000000e+01,9.467732567177871772e+01,3.894500000000000028e+01,3.359599999999999653e+01
8.900000000000000000e+01,9.453300576808494782e+01,3.907399999999999807e+01,3.391799999999999926e+01
9.000000000000000000e+01,9.442928734576378247e+01,3.926800000000000068e+01,3.401500000000000057e+01
9.100000000000000000e+01,9.421370832858512756e+01,3.959000000000000341e+01,3.424000000000000199e+01
9.200000000000000000e+01,9.414640453329022307e+01,3.962199999999999989e+01,3.424000000000000199e+01
9.300000000000000000e+01,9.391385033635916102e+01,3.991199999999999903e+01,3.453000000000000114e+01
9.400000000000000000e+01,9.380737830724754645e+01,4.020199999999999818e+01,3.456300000000000239e+01
9.500000000000000000e+01,9.352385819115059462e+01,4.026700000000000301e+01,3.501400000000000290e+01
9.600000000000000000e+01,9.340864828098133898e+01,4.055700000000000216e+01,3.514300000000000068e+01
9.700000000000000000e+01,9.317177660688001595e+01,4.058899999999999864e+01,3.501400000000000290e+01
9.800000000000000000e+01,9.300647580801013703e+01,4.087899999999999778e+01,3.546500000000000341e+01
9.900000000000000000e+01,9.279524892772954558e+01,4.103999999999999915e+01,3.562599999999999767e+01
1.000000000000000000e+02,9.265720785047629704e+01,4.120100000000000051e+01,3.539999999999999858e+01
1.010000000000000000e+02,9.241935136821123820e+01,4.152300000000000324e+01,3.581900000000000261e+01
1.020000000000000000e+02,9.226486799413322615e+01,4.152300000000000324e+01,3.610900000000000176e+01
1.030000000000000000e+02,9.196645187438994640e+01,4.184599999999999653e+01,3.604500000000000171e+01
1.040000000000000000e+02,9.177155621463157331e+01,4.197500000000000142e+01,3.646399999999999864e+01
1.050000000000000000e+02,9.166303951144737994e+01,4.216799999999999926e+01,3.672200000000000131e+01
1.060000000000000000e+02,9.135773718574557734e+01,4.239399999999999835e+01,3.675399999999999778e+01
1.070000000000000000e+02,9.114524143052230443e+01,4.249000000000000199e+01,3.701200000000000045e+01
1.080000000000000000e+02,9.106307099641647085e+01,4.281300000000000239e+01,3.694700000000000273e+01
