t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,2.508800000000000097e+01,2.441100000000000136e+01
1.000000000000000000e+00,1.000000000000000142e+02,2.518499999999999872e+01,2.441100000000000136e+01
2.000000000000000000e+00,9.706632097844907037e+01,2.515200000000000102e+01,2.412099999999999866e+01
3.000000000000000000e+00,9.304948588702762891e+01,2.528099999999999881e+01,2.431400000000000006e+01
4.000000000000000000e+00,9.063343729107688773e+01,2.521699999999999875e+01,2.444300000000000139e+01
5.000000000000000000e+00,8.688611905596100371e+01,2.534600000000000009e+01,2.441100000000000136e+01
6.000000000000000000e+00,8.424828120256604791e+01,2.534600000000000009e+01,2.444300000000000139e+01
7.000000000000000000e+00,8.124699738518332026e+01,2.541000000000000014e+01,2.441100000000000136e+01
8.000000000000000000e+00,7.884807798937185908e+01,2.541000000000000014e+01,2.434700000000000131e+01
9.000000000000000000e+00,7.655734329827416218e+01,2.541000000000000014e+01,2.453999999999999915e+01
1.000000000000000000e+01,7.437062434767695152e+01,2.541000000000000014e+01,2.431400000000000006e+01
1.100000000000000000e+01,7.155508133966020523e+01,2.550700000000000145e+01,2.421799999999999997e+01
1.200000000000000000e+01,6.788693700185777402e+01,2.573199999999999932e+01,2.441100000000000136e+01
1.300000000000000000e+01,6.603142578901092463e+01,2.573199999999999932e+01,2.447599999999999909e+01
1.400000000000000000e+01,6.426295258913003750e+01,2.573199999999999932e+01,2.473300000000000054e+01
1.500000000000000000e+01,6.184933185148006629e+01,2.582900000000000063e+01,2.473300000000000054e+01
1.600000000000000000e+01,5.855990161238833736e+01,2.605499999999999972e+01,2.473300000000000054e+01
1.700000000000000000e+01,5.683522336379162709e+01,2.608699999999999974e+01,2.457199999999999918e+01
1.800000000000000000e+01,5.372969554044350105e+01,2.631299999999999883e+01,2.444300000000000139e+01
1.900000000000000000e+01,5.194122850691775284e+01,2.637699999999999889e+01,2.492699999999999960e+01
2.000000000000000000e+01,5.070777024484075213e+01,2.637699999999999889e+01,2.505600000000000094e+01
2.100000000000000000e+01,4.711754592769108996e+01,2.669900000000000162e+01,2.495899999999999963e+01
2.200000000000000000e+01,4.605014274342686775e+01,2.669900000000000162e+01,2.505600000000000094e+01
2.300000000000000000e+01,4.358112536079478616e+01,2.689300000000000068e+01,2.486199999999999832e+01
2.400000000000000000e+01,4.168790704554309912e+01,2.702100000000000080e+01,2.521699999999999875e+01
2.500000000000000000e+01,4.082428914423415733e+01,2.702100000000000080e+01,2.528099999999999881e+01
2.600000000000000000e+01,3.807011942330074561e+01,2.727899999999999991e+01,2.537800000000000011e+01
2.700000000000000000e+01,3.684682221275498648e+01,2.734400000000000119e+01,2.547500000000000142e+01
2.800000000000000000e+01,3.592305520744518788e+01,2.737600000000000122e+01,2.557100000000000151e+01
2.900000000000000000e+01,3.310587138101460880e+01,2.766600000000000037e+01,2.550700000000000145e+01
3.000000000000000000e+01,3.254561647112846856e+01,2.766600000000000037e+01,2.569999999999999929e+01
